Name,id,Description as described by Vulkan Docs https://docs.vulkan.org/refpages/latest/refpages/source/VkResult.html
VK_SUCCESS|0|Command successfully completed
VK_NOT_READY|1|A fence or query has not yet completed
VK_TIMEOUT|2|A wait operation has not completed in the specified time
VK_EVENT_SET|3|An event is signaled
VK_EVENT_RESET|4|An event is unsignaled
VK_INCOMPLETE|5|A return array was too small for the result
VK_ERROR_OUT_OF_HOST_MEMORY|-1|A host memory allocation has failed.
VK_ERROR_OUT_OF_DEVICE_MEMORY|-2|A device memory allocation has failed.
VK_ERROR_INITIALIZATION_FAILED|-3|Initialization of an object could not be completed for implementation-specific reasons.
VK_ERROR_DEVICE_LOST|-4|The logical or physical device has been lost.
VK_ERROR_MEMORY_MAP_FAILED|-5|Mapping of a memory object has failed.
VK_ERROR_LAYER_NOT_PRESENT|-6|A requested layer is not present or could not be loaded.
VK_ERROR_EXTENSION_NOT_PRESENT|-7|A requested extension is not supported.
VK_ERROR_FEATURE_NOT_PRESENT|-8|A requested feature is not supported.
VK_ERROR_INCOMPATIBLE_DRIVER|-9|The requested version of Vulkan is not supported by the driver or is otherwise incompatible for implementation-specific reasons.
VK_ERROR_TOO_MANY_OBJECTS|-10|Too many objects of the type have already been created.
VK_ERROR_FORMAT_NOT_SUPPORTED|-11|A requested format is not supported on this device.
VK_ERROR_FRAGMENTED_POOL|-12|A pool allocation has failed due to fragmentation of the pool’s memory. This must only be returned if no attempt to allocate host or device memory was made to accommodate the new allocation. This should be returned in preference to VK_ERROR_OUT_OF_POOL_MEMORY, but only if the implementation is certain that the pool allocation failure was due to fragmentation.
VK_ERROR_UNKNOWN|-13|An unknown error has occurred; either the application has provided invalid input, or an implementation failure has occurred.
VK_ERROR_VALIDATION_FAILED|-1000011001|A command failed because invalid usage was detected by the implementation or a validation layer. This may result in the command not being dispatched to the ICD.
VK_ERROR_OUT_OF_POOL_MEMORY|-1000069000|A pool memory allocation has failed. This must only be returned if no attempt to allocate host or device memory was made to accommodate the new allocation. If the failure was definitely due to fragmentation of the pool, VK_ERROR_FRAGMENTED_POOL should be returned instead.
VK_ERROR_INVALID_EXTERNAL_HANDLE|-1000072003|An external handle is not a valid handle of the specified type.
VK_ERROR_INVALID_OPAQUE_CAPTURE_ADDRESS|-1000257000|A buffer creation or memory allocation failed because the requested address is not available. A shader group handle assignment failed because the requested shader group handle information is no longer valid.
VK_ERROR_FRAGMENTATION|-1000161000|A descriptor pool creation has failed due to fragmentation.
VK_PIPELINE_COMPILE_REQUIRED|1000297000|A requested pipeline creation would have required compilation, but the application requested compilation to not be performed.
VK_ERROR_NOT_PERMITTED|-1000174001|The driver implementation has denied a request to acquire a priority above the default priority (VK_QUEUE_GLOBAL_PRIORITY_MEDIUM_EXT) because the application does not have sufficient privileges.
